ticker,name,index,sector,last_date,close,rsi,sma200,dist200,z,vol1y,vol5y,rev_days,halflife,episodes,hitrate,obs,score,sig,stale
NESN.SW,Nestlé,SMI,Nahrungsmittel,2026-08-18,79.2,42.1,79.17,0.04,0.44,22.8,18.2,61.0,37.0,13.0,92.0,1532,0.0,kein Signal,False
NOVN.SW,Novartis,SMI,Pharma,2026-08-18,125.56,52.1,117.1,7.22,0.63,19.1,18.5,50.0,34.0,15.0,93.0,1532,-19.0,kein Signal,False
ROG.SW,Roche GS,SMI,Pharma,2026-04-13,317.2,44.2,298.55,6.25,0.73,24.4,20.2,106.0,73.0,8.0,88.0,1328,-11.0,kein Signal,True
ABBN.SW,ABB,SMI,Industrie,2026-08-18,80.56,45.1,70.97,13.51,0.5,27.1,25.5,81.0,62.0,7.0,86.0,1532,-6.0,kein Signal,False
UBSG.SW,UBS Group,SMI,Banken,2026-08-18,43.07,54.1,35.58,21.05,1.3,23.0,29.0,58.0,35.0,12.0,92.0,1532,-40.0,kein Signal,False
CFR.SW,Richemont,SMI,Luxus,2026-08-18,187.05,43.7,165.31,13.15,0.69,30.1,34.1,68.0,50.0,12.0,92.0,1533,-9.0,kein Signal,False
ZURN.SW,Zurich Insurance,SMI,Versicherung,2026-08-18,593.6,42.7,571.78,3.82,0.1,17.7,17.5,51.0,29.0,16.0,100.0,1532,8.0,kein Signal,False
HOLN.SW,Holcim,SMI,Baustoffe,2026-08-18,69.72,35.5,73.21,-4.77,-0.53,28.5,38.8,93.0,39.0,8.0,100.0,1532,34.0,kein Signal,False
SREN.SW,Swiss Re,SMI,Versicherung,2026-08-18,141.4,69.7,130.9,8.02,0.5,21.6,22.8,77.0,59.0,9.0,100.0,1531,-41.0,kein Signal,False
LONN.SW,Lonza,SMI,Life Science,2026-08-18,565.8,52.3,527.64,7.23,0.62,22.3,30.0,150.0,70.0,5.0,100.0,1530,-19.0,kein Signal,False
SCMN.SW,Swisscom,SMI,Telekom,2026-08-18,635.0,52.7,637.06,-0.32,-0.32,17.0,15.6,77.0,59.0,10.0,100.0,1532,5.0,kein Signal,False
GIVN.SW,Givaudan,SMI,Chemie,2026-08-18,3162.0,37.0,3097.06,2.1,0.38,24.5,23.4,174.0,82.0,6.0,83.0,1532,8.0,kein Signal,False
ALC.SW,Alcon,SMI,Medtech,2026-08-18,60.34,61.3,59.23,1.87,0.32,28.5,25.1,86.0,45.0,9.0,100.0,1533,-24.0,kein Signal,False
SIKA.SW,Sika,SMI,Baustoffe,2026-08-18,184.85,56.8,154.78,19.43,1.75,30.9,29.2,95.0,69.0,9.0,89.0,1533,-55.0,Beobachtung Verkauf,False
